Year,Team,Name,Salary,Prev_Salary,is_rookie
2016,KT,김태훈,3000,3000,X
2016,SK/SSG,김태훈,2800,2700,X
2016,KT,김태훈,3000,2700,X
2015,SK/SSG,김태훈,2700,2700,X
2015,SK/SSG,김태훈,2700,2700,X
2015,KT,김태훈,3000,2700,X
2015,KT,김태훈,3000,2700,X
2014,SK/SSG,김태훈,2700,2800,X
2014,KT,김태훈,2700,2800,X
2011,SK/SSG,김태훈,2800,2500,X
2011,SK/SSG,김태훈,2800,2400,X
2010,SK/SSG,김태훈,2400,NaN,O
2010,KIA,김태훈,2500,NaN,O
2024,DOOSAN,김택연,14000,3000,X
2023,DOOSAN,김택연,3000,NaN,O
2023,NC,김택우,3000,3000,X
2022,NC,김택우,3000,NaN,O
2024,SK/SSG,김택형,20500,20500,X
2023,SK/SSG,김택형,20500,12500,X
2021,SK/SSG,김택형,12500,3000,X
2020,SK/SSG,김택형,3000,3700,X
2019,SK/SSG,김택형,3700,4000,X
2018,SK/SSG,김택형,4000,4000,X
2017,SK/SSG,김택형,4000,4400,X
2016,SK/SSG,김택형,4400,4400,X
2015,HEROES,김택형,4400,2700,X
2014,HEROES,김택형,2700,NaN,O
2020,SK/SSG,김표승,3000,2700,X
2017,SK/SSG,김표승,2700,NaN,O
2001,HYUNDAI,김필중,2000,NaN,O
2019,HEROES,김하성,55000,32000,X
2018,HEROES,김하성,32000,32000,X
2017,HEROES,김하성,32000,22000,X
2016,HEROES,김하성,22000,16000,X
2015,HEROES,김하성,16000,4000,X
2014,HEROES,김하성,4000,2400,X
2013,HEROES,김하성,2400,NaN,O
2015,NC,김학성,2700,2700,X
2014,NC,김학성,2700,2400,X
2013,NC,김학성,2400,NaN,O
2024,NC,김한별,3800,3800,X
2023,NC,김한별,3800,3100,X
2022,NC,김한별,3100,3000,X
2022,NC,김한별,3100,3000,X
2021,NC,김한별,3000,2700,X
2021,KT,김한별,3000,2700,X
2019,NC,김한별,2700,2700,X
2017,HEROES,김한별,2700,2700,X
2015,NC,김한별,2700,NaN,O
2017,HEROES,김한솔,2000,NaN,O
2006,SAMSUNG,김한수,40000,40000,X
2005,SAMSUNG,김한수,40000,40000,X
2004,SAMSUNG,김한수,40000,31000,X
2003,SAMSUNG,김한수,31000,28000,X
2002,SAMSUNG,김한수,28000,15000,X
2001,SAMSUNG,김한수,15000,10000,X
2006,HANWHA,김해님,8000,6700,X
2005,HANWHA,김해님,6700,4500,X
2004,HANWHA,김해님,4500,2500,X
2003,HANWHA,김해님,2500,NaN,O
2017,HEROES,김해수,2700,2700,X
2016,HEROES,김해수,2700,2700,X
2014,HEROES,김해수,2700,NaN,O
2022,HANWHA,김해찬,3000,NaN,O
2024,SAMSUNG,김헌곤,10000,6000,X
2023,SAMSUNG,김헌곤,6000,12000,X
2022,SAMSUNG,김헌곤,12000,18000,X
2021,SAMSUNG,김헌곤,18000,16000,X
2020,SAMSUNG,김헌곤,16000,19000,X
2019,SAMSUNG,김헌곤,19000,15500,X
2018,SAMSUNG,김헌곤,15500,8500,X
2017,SAMSUNG,김헌곤,8500,5000,X
2016,SAMSUNG,김헌곤,5000,2500,X
2013,SAMSUNG,김헌곤,2500,2500,X
2012,SAMSUNG,김헌곤,2500,2500,X
2011,SAMSUNG,김헌곤,2500,NaN,O
2017,HANWHA,김혁민,7500,9500,X
2016,HANWHA,김혁민,9500,14000,X
2013,HANWHA,김혁민,14000,11400,X
2012,HANWHA,김혁민,11400,6400,X
2011,HANWHA,김혁민,6400,3400,X
2010,HANWHA,김혁민,3400,4200,X
2009,HANWHA,김혁민,4200,3600,X
2008,HANWHA,김혁민,3600,2100,X
2007,HANWHA,김혁민,2100,2000,X
2006,HANWHA,김혁민,2000,NaN,O
2019,LOTTE,김현,2700,2700,X
2018,LOTTE,김현,2700,2700,X
2017,LOTTE,김현,2700,NaN,O
2020,HANWHA,김현민,3100,2700,X
2019,HANWHA,김현민,2700,2100,X
2001,LG,김현민,2100,2200,X
2024,LG,김현수,50000,100000,X
2024,KIA,김현수,4500,100000,X
2024,LG,김현수,50000,4500,X
2024,KIA,김현수,4500,4500,X
2023,LG,김현수,100000,100000,X
2023,KIA,김현수,4500,100000,X
2022,LG,김현수,100000,150000,X
2022,LG,김현수,100000,4000,X
2021,LG,김현수,150000,100000,X
2021,KIA,김현수,4000,100000,X
2021,LG,김현수,150000,3500,X
2021,KIA,김현수,4000,3500,X
2020,LG,김현수,100000,130000,X
2020,KIA,김현수,3500,130000,X
2020,LG,김현수,100000,3000,X
2020,KIA,김현수,3500,3000,X
2019,LG,김현수,130000,130000,X
2019,KIA,김현수,3000,130000,X
2019,LG,김현수,130000,2700,X
2019,KIA,김현수,3000,2700,X
2018,LOTTE,김현수,2700,140000,X
2018,LG,김현수,130000,140000,X
2017,LG,김현수,140000,75000,X
2014,DOOSAN,김현수,75000,45000,X
2013,DOOSAN,김현수,45000,31000,X
2012,DOOSAN,김현수,31000,30000,X
2011,DOOSAN,김현수,30000,27000,X
2010,DOOSAN,김현수,27000,25200,X
2009,DOOSAN,김현수,25200,12600,X
2008,DOOSAN,김현수,12600,4200,X
2007,DOOSAN,김현수,4200,2000,X
2006,DOOSAN,김현수,2000,2000,X
2005,DOOSAN,김현수,2000,NaN,O
2024,LOTTE,김현우,3000,3000,X
2022,HANWHA,김현우,3000,3000,X
2021,HEROES,김현우,3000,3000,X
2020,HEROES,김현우,3000,2700,X
2019,HANWHA,김현우,2700,2700,X
2018,LOTTE,김현우,2700,5500,X
2016,SAMSUNG,김현우,5500,4500,X
2015,SAMSUNG,김현우,4500,5000,X
2014,SAMSUNG,김현우,5000,3000,X
2013,SAMSUNG,김현우,3000,2500,X
2012,SAMSUNG,김현우,2500,NaN,O
2003,SAMSUNG,김현욱,22000,18000,X
2002,SAMSUNG,김현욱,18000,9500,X
2001,SAMSUNG,김현욱,9500,9500,X
2024,SK/SSG,김현재,3000,NaN,O
2019,HANWHA,김현제,2700,NaN,O
2024,LG,김현종,3200,3000,X
2023,LG,김현종,3000,2700,X
2019,LOTTE,김현종,2700,NaN,O
2023,SAMSUNG,김현준,14000,8000,X
2022,SAMSUNG,김현준,8000,3400,X
2022,SAMSUNG,김현준,8000,3300,X
2021,SAMSUNG,김현준,3300,3100,X
2021,KIA,김현준,3400,3100,X
2021,SAMSUNG,김현준,3300,3000,X
2021,KIA,김현준,3400,3000,X
2020,SAMSUNG,김현준,3000,2900,X
2020,KIA,김현준,3100,2900,X
2019,KIA,김현준,2900,2800,X
2016,KIA,김현준,2800,2700,X
2015,KIA,김현준,2700,NaN,O
2023,LG,김형욱,3000,3000,X
2021,LG,김형욱,3000,3000,X
2020,LG,김형욱,3000,NaN,O
2024,NC,김형준,11000,5800,X
2023,NC,김형준,5800,5000,X
2022,NC,김형준,5000,5000,X
2019,NC,김형준,5000,3200,X
2018,NC,김형준,3200,2700,X
2017,NC,김형준,2700,NaN,O
2009,KIA,김형철,2600,2600,X
2008,KIA,김형철,2600,2200,X
2007,KIA,김형철,2200,2200,X
2006,SK/SSG,김형철,2200,2200,X
2005,SK/SSG,김형철,2200,2100,X
2004,SK/SSG,김형철,2100,2000,X
2003,SK/SSG,김형철,2000,NaN,O
2006,DOOSAN,김혜겸,2000,NaN,O
2023,HEROES,김혜성,65000,42000,X
2022,HEROES,김혜성,42000,32000,X
2021,HEROES,김혜성,32000,17000,X
2020,HEROES,김혜성,17000,10000,X
2019,HEROES,김혜성,10000,7000,X
2018,HEROES,김혜성,7000,2900,X
2017,HEROES,김혜성,2900,2700,X
2016,HEROES,김혜성,2700,NaN,O
2001,DOOSAN,김호,4600,3600,X
2024,KIA,김호령,8000,9000,X
2023,KIA,김호령,9000,7000,X
2022,KIA,김호령,7000,6000,X
2021,KIA,김호령,6000,8500,X
2020,KIA,김호령,8500,8500,X
2019,KIA,김호령,8500,9500,X
2016,KIA,김호령,9500,6000,X
2015,KIA,김호령,6000,2700,X
2014,KIA,김호령,2700,NaN,O
2016,NC,김호민,2700,NaN,O
2016,HEROES,김호연,2400,NaN,O
2021,LG,김호은,4000,5000,X
2020,LG,김호은,5000,2700,X
2019,LG,김호은,2700,2700,X
2015,LG,김호은,2700,NaN,O
2022,SAMSUNG,김호재,5600,7000,X
2021,SAMSUNG,김호재,7000,6000,X
2020,SAMSUNG,김호재,6000,4000,X
2019,SAMSUNG,김호재,4000,3000,X
2018,SAMSUNG,김호재,3000,2800,X
2017,SAMSUNG,김호재,2800,NaN,O
2024,DOOSAN,김호준,3300,3100,X
2023,DOOSAN,김호준,3100,3000,X
2022,DOOSAN,김호준,3000,2700,X
2019,DOOSAN,김호준,2700,2700,X
2018,DOOSAN,김호준,2700,NaN,O
2018,DOOSAN,김호준,2700,2700,X
2017,DOOSAN,김호준,2700,2700,X
2015,LOTTE,김호준,2700,NaN,O
2024,SAMSUNG,김호진,3250,3000,X
2023,SAMSUNG,김호진,3000,NaN,O
2016,HEROES,김홍빈,2700,NaN,O
2002,HANWHA,김홍집,3700,3700,X
2001,HANWHA,김홍집,3700,4600,X
2008,HANWHA,김회권,2200,2200,X
2007,LG,김회권,2200,2200,X
2006,LG,김회권,2200,2000,X
2004,LG,김회권,2000,NaN,O
2019,HANWHA,김회성,6500,6500,X
2018,HANWHA,김회성,6500,5800,X
2017,HANWHA,김회성,5800,5500,X
2016,HANWHA,김회성,5500,5500,X
2015,HANWHA,김회성,5500,4000,X
2014,HANWHA,김회성,4000,3400,X
2013,HANWHA,김회성,3400,2400,X
2010,HANWHA,김회성,2400,2400,X
2009,HANWHA,김회성,2400,NaN,O
2012,LG,김효남,3200,3000,X
2010,SAMSUNG,김효남,3000,2600,X
2009,SAMSUNG,김효남,2600,NaN,O
2014,LOTTE,김훈호,2700,NaN,O
2024,NC,김휘건,3000,3000,X
2023,NC,김휘건,3000,NaN,O
2007,LOTTE,김휘곤,2000,NaN,O
2024,NC,김휘집,17500,11000,X
2023,NC,김휘집,11000,7400,X
2022,HEROES,김휘집,7400,3900,X
2021,HEROES,김휘집,3900,3000,X
2020,HEROES,김휘집,3000,NaN,O
2014,SAMSUNG,김희석,2800,2400,X
2013,SAMSUNG,김희석,2400,NaN,O
2017,NC,김희원,2800,NaN,O
2018,LOTTE,나경민,5500,5800,X
2017,LOTTE,나경민,5800,3600,X
2016,LOTTE,나경민,3600,2700,X
2015,LOTTE,나경민,2700,NaN,O
2015,LG,나규호,2400,NaN,O
2024,LOTTE,나균안,12000,17000,X
2023,LOTTE,나균안,17000,10900,X
2022,LOTTE,나균안,10900,5800,X
2021,LOTTE,나균안,5800,4300,X
2020,LOTTE,나균안,4300,4300,X
2019,LOTTE,나균안,4300,NaN,X
2024,KIA,나성범,80000,80000,X
2023,KIA,나성범,80000,80000,X
2022,KIA,나성범,80000,200000,X
2021,KIA,나성범,200000,78000,X
2020,NC,나성범,78000,50000,X
2019,NC,나성범,50000,55000,X
2018,NC,나성범,55000,43000,X
2017,NC,나성범,43000,35000,X
2016,NC,나성범,35000,30000,X
2015,NC,나성범,30000,22000,X
2014,NC,나성범,22000,7500,X
2013,NC,나성범,7500,4000,X
2012,NC,나성범,4000,NaN,X
2016,SAMSUNG,나성용,3900,3700,X
2015,SAMSUNG,나성용,3700,2700,X
2014,LG,나성용,2700,NaN,O
2019,SK/SSG,나세원,2700,NaN,O
2013,SK/SSG,나세원,2700,NaN,O
2024,LOTTE,나승엽,12000,4000,X
2023,LOTTE,나승엽,4000,4000,X
2021,LOTTE,나승엽,4000,3000,X
2020,LOTTE,나승엽,3000,NaN,O
2014,LOTTE,나승현,3000,3200,X
2013,LOTTE,나승현,3200,5500,X
2009,LOTTE,나승현,5500,5500,X
2008,LOTTE,나승현,5500,5000,X
2007,LOTTE,나승현,5000,5000,X
2006,LOTTE,나승현,5000,2000,X
2005,LOTTE,나승현,2000,NaN,O
2024,KIA,나연우,3000,NaN,O
2022,KIA,나용기,3000,3000,X
2021,KIA,나용기,3000,2700,X
2018,KIA,나용기,2700,NaN,O
2022,LOTTE,나원탁,3400,3100,X
2021,LOTTE,나원탁,3100,3000,X
2020,LOTTE,나원탁,3000,3000,X
2019,LOTTE,나원탁,3000,2800,X
2017,LOTTE,나원탁,2800,2700,X
2016,SAMSUNG,나원탁,2700,NaN,O
2018,LOTTE,나종덕,4300,2800,X
2017,LOTTE,나종덕,2800,2700,X
2016,LOTTE,나종덕,2700,NaN,O
2020,KIA,나주환,10000,12000,X
2019,KIA,나주환,12000,32000,X
2018,SK/SSG,나주환,32000,30000,X
2017,SK/SSG,나주환,30000,15000,X
2016,SK/SSG,나주환,15000,20000,X
2015,SK/SSG,나주환,20000,20000,X
2014,SK/SSG,나주환,20000,20000,X
2013,SK/SSG,나주환,20000,17000,X
2012,SK/SSG,나주환,17000,17000,X
2009,SK/SSG,나주환,17000,12000,X
2008,SK/SSG,나주환,12000,8700,X
2007,SK/SSG,나주환,8700,5300,X
2006,SK/SSG,나주환,5300,5300,X
2005,DOOSAN,나주환,5300,3300,X
2004,DOOSAN,나주환,3300,2600,X
2003,DOOSAN,나주환,2600,NaN,O
2021,KIA,나지완,15000,40000,X
2020,KIA,나지완,40000,60000,X
2019,KIA,나지완,60000,60000,X
2018,KIA,나지완,60000,60000,X
2017,KIA,나지완,60000,60000,X
2016,KIA,나지완,60000,20000,X
2015,KIA,나지완,20000,25000,X
2014,KIA,나지완,25000,20000,X
2013,KIA,나지완,20000,15000,X
2012,KIA,나지완,15000,12500,X
2011,KIA,나지완,12500,9000,X
2010,KIA,나지완,9000,10000,X
2009,KIA,나지완,10000,3800,X
2008,KIA,나지완,3800,NaN,X
2017,DOOSAN,남경호,2700,2800,X
2016,DOOSAN,남경호,2800,3000,X
2015,DOOSAN,남경호,3000,2700,X
2014,DOOSAN,남경호,2700,NaN,O
2015,SAMSUNG,남기효,2700,NaN,O
2017,SK/SSG,남윤성,2800,2700,X
2016,SK/SSG,남윤성,2700,NaN,O
2023,DOOSAN,남율,3000,3000,X
2022,DOOSAN,남율,3000,NaN,O
2020,KIA,남재현,3200,3100,X
2019,KIA,남재현,3100,2700,X
2016,KIA,남재현,2700,2700,X
2015,KIA,남재현,2700,NaN,O
2023,HANWHA,남지민,4000,4300,X
2022,HANWHA,남지민,4300,3300,X
2021,HANWHA,남지민,3300,3000,X
2020,HANWHA,남지민,3000,2700,X
2019,HANWHA,남지민,2700,NaN,O
2020,SK/SSG,남태혁,3000,3000,X
2019,SK/SSG,남태혁,3000,3300,X
2018,SK/SSG,남태혁,3300,3300,X
2017,KT,남태혁,3300,3000,X
2016,KT,남태혁,3000,2700,X
2015,KT,남태혁,2700,NaN,O
2022,KIA,남하준,3500,3300,X
2021,KIA,남하준,3300,NaN,X
2024,DOOSAN,남호,3500,3500,X
2021,DOOSAN,남호,3500,3300,X
2020,DOOSAN,남호,3300,2700,X
2019,LG,남호,2700,2700,X
2018,LG,남호,2700,NaN,O
2022,SAMSUNG,노건우,4800,NaN,X
2024,SK/SSG,노경은,40000,35000,X
2023,SK/SSG,노경은,35000,17000,X
2022,SK/SSG,노경은,17000,10000,X
2021,SK/SSG,노경은,10000,20000,X
2020,LOTTE,노경은,20000,20000,X
2019,LOTTE,노경은,20000,10000,X
2017,LOTTE,노경은,10000,16000,X
2016,LOTTE,노경은,16000,20000,X
2015,LOTTE,노경은,20000,20000,X
2014,DOOSAN,노경은,20000,28000,X
2013,DOOSAN,노경은,28000,16000,X
2012,DOOSAN,노경은,16000,5500,X
2011,DOOSAN,노경은,5500,2900,X
2010,DOOSAN,노경은,2900,3000,X
2009,DOOSAN,노경은,3000,3200,X
2008,DOOSAN,노경은,3200,3700,X
2007,DOOSAN,노경은,3700,3000,X
2006,DOOSAN,노경은,3000,2400,X
2003,DOOSAN,노경은,2400,2000,X
2002,DOOSAN,노경은,2000,NaN,O
2017,KIA,노관현,3000,2700,X
2016,KIA,노관현,2700,2700,X
2015,SK/SSG,노관현,2700,NaN,O
2006,HYUNDAI,노병오,2900,3100,X
2005,HYUNDAI,노병오,3100,3000,X
2004,HYUNDAI,노병오,3000,3500,X
2002,SAMSUNG,노병오,3500,NaN,X
2017,NC,노병훈,2700,NaN,O
2021,NC,노상혁,3000,2700,X
2019,NC,노상혁,2700,NaN,O
2022,HANWHA,노석진,3000,3000,X
2021,HANWHA,노석진,3000,NaN,O
2021,SAMSUNG,노성호,5800,7000,X
2020,SAMSUNG,노성호,7000,4000,X
2019,SAMSUNG,노성호,4000,4000,X
2018,NC,노성호,4000,4500,X
2017,NC,노성호,4500,5500,X
2014,NC,노성호,5500,4300,X
2013,NC,노성호,4300,2600,X
2012,NC,노성호,2600,NaN,O
2022,HANWHA,노수광,10900,12840,X
2021,HANWHA,노수광,12840,17300,X
2020,HANWHA,노수광,17300,21000,X
2019,HANWHA,노수광,21000,26500,X
2018,SK/SSG,노수광,26500,13000,X
2017,SK/SSG,노수광,13000,6800,X
2016,SK/SSG,노수광,6800,3000,X
2015,KIA,노수광,3000,2700,X
2014,KIA,노수광,2700,2400,X
2013,HANWHA,노수광,2400,NaN,O
2005,LOTTE,노승욱,4000,4000,X
2004,LOTTE,노승욱,4000,4300,X
2003,LOTTE,노승욱,4300,2500,X
2002,LOTTE,노승욱,2500,1800,X
2001,LOTTE,노승욱,1800,1800,X
2024,HANWHA,노시환,33000,35000,X
2023,HANWHA,노시환,35000,13100,X
2022,HANWHA,노시환,13100,12000,X
2021,HANWHA,노시환,12000,6000,X
2020,HANWHA,노시환,6000,3300,X
2019,HANWHA,노시환,3300,2700,X
2018,HANWHA,노시환,2700,NaN,O
2022,NC,노시훈,3000,3000,X
2021,NC,노시훈,3000,3000,X
2020,NC,노시훈,3000,2700,X
2019,NC,노시훈,2700,2700,X
2018,NC,노시훈,2700,NaN,O
2023,HEROES,노운현,3000,3100,X
2022,HEROES,노운현,3100,3000,X
2021,HEROES,노운현,3000,NaN,O
2015,DOOSAN,노유성,2700,NaN,O
2017,HEROES,노윤상,2700,NaN,O
2005,LOTTE,노장진,30000,28000,X
2004,LOTTE,노장진,28000,20500,X
2003,LOTTE,노장진,20500,20500,X
2002,SAMSUNG,노장진,20500,9000,X
2001,SAMSUNG,노장진,9000,7000,X
2014,SAMSUNG,노진용,2900,2600,X
2013,SAMSUNG,노진용,2600,NaN,O
2024,LOTTE,노진혁,70000,60000,X
2023,LOTTE,노진혁,60000,50000,X
2022,LOTTE,노진혁,50000,23000,X
2021,NC,노진혁,23000,23000,X
2020,NC,노진혁,23000,14000,X
2019,NC,노진혁,14000,10000,X
2018,NC,노진혁,10000,4300,X
2017,NC,노진혁,4300,4300,X
2015,NC,노진혁,4300,4300,X
2014,NC,노진혁,4300,4800,X
2013,NC,노진혁,4800,2400,X
2012,NC,노진혁,2400,NaN,O
2020,HANWHA,노태형,3400,2700,X
2019,HANWHA,노태형,2700,2400,X
2013,HANWHA,노태형,2400,NaN,O
2019,NC,노학준,2700,NaN,O
2013,HEROES,노환수,3000,4400,X
2008,HEROES,노환수,4400,3300,X
2007,HEROES,노환수,3300,2500,X
2006,HYUNDAI,노환수,2500,3000,X
2005,HYUNDAI,노환수,3000,2000,X
2004,HYUNDAI,노환수,2000,NaN,O
2024,SK/SSG,도재현,3000,NaN,O
2024,NC,도태훈,8000,8000,X
2023,NC,도태훈,8000,5000,X
2022,NC,도태훈,5000,4000,X
2021,NC,도태훈,4000,3200,X
2020,NC,도태훈,3200,3200,X
2019,NC,도태훈,3200,3000,X
2017,NC,도태훈,3000,2700,X
2016,NC,도태훈,2700,2700,X
2015,NC,도태훈,2700,NaN,O
2011,SAMSUNG,두영진,2400,NaN,O
2023,SAMSUNG,류승민,3500,3000,X
2022,SAMSUNG,류승민,3000,NaN,O
2021,KIA,류승현,4000,3600,X
2018,KIA,류승현,3600,2900,X
2017,KIA,류승현,2900,2800,X
2016,KIA,류승현,2800,2700,X
2015,KIA,류승현,2700,NaN,O
2022,HANWHA,류원석,3500,4000,X
2021,LG,류원석,4000,3300,X
2020,LG,류원석,3300,3000,X
2019,LG,류원석,3000,2700,X
2018,LG,류원석,2700,NaN,O
2014,KIA,류은재,3000,2800,X
2013,KIA,류은재,2800,NaN,O
2017,NC,류재인,2700,2700,X
2016,NC,류재인,2700,NaN,O
2018,LG,류제국,10000,29000,X
2017,LG,류제국,29000,35000,X
2016,LG,류제국,35000,18000,X
2015,LG,류제국,18000,23000,X
2014,LG,류제국,23000,18000,X
2013,LG,류제국,18000,10000,X
2012,LG,류제국,10000,NaN,X
2024,SAMSUNG,류지혁,60000,20000,X
2023,SAMSUNG,류지혁,20000,15500,X
2022,SAMSUNG,류지혁,15500,10500,X
2021,KIA,류지혁,10500,10000,X
2020,KIA,류지혁,10000,10500,X
2019,KIA,류지혁,10500,12500,X
2018,DOOSAN,류지혁,12500,9500,X
2017,DOOSAN,류지혁,9500,5700,X
2016,DOOSAN,류지혁,5700,3000,X
2015,DOOSAN,류지혁,3000,2800,X
2014,DOOSAN,류지혁,2800,NaN,O
2003,LG,류지현,23000,23000,X
2002,LG,류지현,23000,22000,X
2001,LG,류지현,22000,20000,X
2024,NC,류진욱,13500,16500,X
2023,NC,류진욱,16500,7500,X
2022,NC,류진욱,7500,7500,X
2021,NC,류진욱,7500,3000,X
2020,NC,류진욱,3000,2700,X
2019,NC,류진욱,2700,2700,X
2015,NC,류진욱,2700,2700,X
2014,NC,류진욱,2700,NaN,O
2013,LG,류택현,10000,6000,X
2012,LG,류택현,6000,4500,X
2011,LG,류택현,4500,13000,X
2009,LG,류택현,13000,13000,X
2008,LG,류택현,13000,13000,X
2007,LG,류택현,13000,6500,X
2006,LG,류택현,6500,8500,X
2005,LG,류택현,8500,NaN,X
2023,SK/SSG,류현곤,3000,3000,X
2022,SK/SSG,류현곤,3000,NaN,O
2023,KT,류현인,3100,3000,X
2022,KT,류현인,3000,NaN,O
2024,DOOSAN,류현준,3100,3000,X
2023,DOOSAN,류현준,3000,NaN,O
2024,HANWHA,류현진,200000,250000,X
2023,HANWHA,류현진,250000,43000,X
2011,HANWHA,류현진,43000,40000,X
2010,HANWHA,류현진,40000,27000,X
2009,HANWHA,류현진,27000,24000,X
2008,HANWHA,류현진,24000,18000,X
2007,HANWHA,류현진,18000,10000,X
2006,HANWHA,류현진,10000,2000,X
2005,HANWHA,류현진,2000,NaN,O
2013,KIA,류현철,2400,NaN,O
2019,LG,류형우,3200,2700,X
2018,LG,류형우,2700,2700,X
2017,LG,류형우,2700,NaN,O
2024,SK/SSG,류효승,3100,3100,X
2023,SK/SSG,류효승,3100,3000,X
2022,SK/SSG,류효승,3000,3000,X
2020,SK/SSG,류효승,3000,2700,X
2019,SK/SSG,류효승,2700,NaN,O
2017,SK/SSG,류효용,3000,2700,X
2016,SK/SSG,류효용,2700,NaN,O
2022,HANWHA,류희운,3300,3300,X
2021,HANWHA,류희운,3300,3800,X
2020,KT,류희운,3800,3500,X
2019,KT,류희운,3500,4500,X
2018,KT,류희운,4500,4000,X
2017,KT,류희운,4000,3000,X
2016,KT,류희운,3000,2700,X
2015,KT,류희운,2700,NaN,O
2014,NC,마낙길,2700,2600,X
2013,NC,마낙길,2600,NaN,O
2014,HANWHA,마일영,15000,15000,X
2013,HANWHA,마일영,15000,15000,X
2012,HANWHA,마일영,15000,10000,X
2011,HANWHA,마일영,10000,8300,X
2010,HANWHA,마일영,8300,11000,X
2009,HANWHA,마일영,11000,11000,X
2008,HEROES,마일영,11000,5000,X
2007,HEROES,마일영,5000,5600,X
2006,HYUNDAI,마일영,5600,5600,X
2003,HYUNDAI,마일영,5600,6100,X
2002,HYUNDAI,마일영,6100,6100,X
2001,HYUNDAI,마일영,6100,3300,X
2016,HEROES,마정길,20000,20000,X
2015,HEROES,마정길,20000,14000,X
2014,HEROES,마정길,14000,8800,X
2013,HEROES,마정길,8800,NaN,X
2007,LOTTE,마해영,5000,40000,X
2006,LG,마해영,40000,40000,X
2005,LG,마해영,40000,40000,X
2004,KIA,마해영,40000,40000,X
2003,KIA,마해영,40000,38000,X
2002,SAMSUNG,마해영,38000,20000,X
2001,SAMSUNG,마해영,20000,15000,X
2022,SAMSUNG,맹성주,3000,2900,X
2019,SAMSUNG,맹성주,2900,2700,X
2017,SAMSUNG,맹성주,2700,NaN,O
2003,HANWHA,맹진국,1800,NaN,O
2013,HANWHA,명재철,2500,NaN,O
2014,KT,모상기,2700,3300,X
2012,SAMSUNG,모상기,3300,3500,X
2011,SAMSUNG,모상기,3500,2400,X
2010,SAMSUNG,모상기,2400,2300,X
2007,SAMSUNG,모상기,2300,NaN,O
2020,NC,모창민,30000,30000,X
2019,NC,모창민,30000,30000,X
2018,NC,모창민,30000,18500,X
2017,NC,모창민,18500,11700,X
2016,NC,모창민,11700,12500,X
2015,NC,모창민,12500,14000,X
2014,NC,모창민,14000,8600,X
2013,NC,모창민,8600,4200,X
2012,NC,모창민,4200,4200,X
2011,SK/SSG,모창민,4200,4200,X
2009,SK/SSG,모창민,4200,3500,X
2008,SK/SSG,모창민,3500,2000,X
2007,SK/SSG,모창민,2000,NaN,O
2024,NC,목지훈,3000,3000,X
2023,NC,목지훈,3000,3000,X
2022,NC,목지훈,3000,NaN,O
2022,LOTTE,문경찬,7200,9000,X
2021,LOTTE,문경찬,9000,11500,X
2020,NC,문경찬,11500,11500,X
2019,NC,문경찬,11500,5500,X
2018,KIA,문경찬,5500,3100,X
2017,KIA,문경찬,3100,2700,X
2014,KIA,문경찬,2700,NaN,O
2019,LG,문광은,7500,6000,X
2018,LG,문광은,6000,6000,X
2017,LG,문광은,6000,4500,X
2016,SK/SSG,문광은,4500,6000,X
2015,SK/SSG,문광은,6000,4000,X
2014,SK/SSG,문광은,4000,2800,X
2013,SK/SSG,문광은,2800,NaN,O
2018,LOTTE,문규현,18000,18000,X
2017,LOTTE,문규현,18000,12000,X
2016,LOTTE,문규현,12000,9000,X
2015,LOTTE,문규현,9000,8500,X
2014,LOTTE,문규현,8500,6800,X
2013,LOTTE,문규현,6800,9000,X
2012,LOTTE,문규현,9000,8400,X
2011,LOTTE,문규현,8400,4200,X
2010,LOTTE,문규현,4200,2600,X
2009,LOTTE,문규현,2600,2000,X
2008,LOTTE,문규현,2000,2200,X
2007,LOTTE,문규현,2200,2000,X
2006,LOTTE,문규현,2000,2000,X
2003,LOTTE,문규현,2000,1900,X
2002,LOTTE,문규현,1900,1700,X
2001,LOTTE,문규현,1700,NaN,O
2002,SAMSUNG,문남열,2700,2500,X
2001,SAMSUNG,문남열,2500,NaN,O
2021,DOOSAN,문대원,3200,3100,X
2020,DOOSAN,문대원,3100,2700,X
2019,DOOSAN,문대원,2700,2700,X
2017,DOOSAN,문대원,2700,2700,X
2016,DOOSAN,문대원,2700,NaN,O
2020,HANWHA,문동욱,3600,3200,X
2019,HANWHA,문동욱,3200,2900,X
2018,HANWHA,문동욱,2900,2900,X
2017,HANWHA,문동욱,2900,2400,X
2013,LOTTE,문동욱,2400,NaN,O
2024,HANWHA,문동주,10000,10000,X
2023,HANWHA,문동주,10000,3300,X
2022,HANWHA,문동주,3300,3000,X
2021,HANWHA,문동주,3000,NaN,O
2006,HANWHA,문동환,23000,15000,X
2005,HANWHA,문동환,15000,7500,X
2004,HANWHA,문동환,7500,6500,X
2003,HANWHA,문동환,6500,7500,X
2001,LOTTE,문동환,7500,8500,X
2024,LG,문보경,41000,30000,X
2023,LG,문보경,30000,17000,X
2022,LG,문보경,17000,6800,X
2021,LG,문보경,6800,3000,X
2020,LG,문보경,3000,2700,X
2019,LG,문보경,2700,2700,X
2018,LG,문보경,2700,NaN,O
2023,NC,문상인,3100,3300,X
2022,KT,문상인,3300,3200,X
2021,KT,문상인,3200,3200,X
2020,KT,문상인,3200,2800,X
2019,KT,문상인,2800,2700,X
2017,KT,문상인,2700,NaN,O
